Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train R2, Test R2, Test R2 (gain), MAE, MAE (gain), MSE, MSE (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time
25,15,1,0.8,LinearSVC(max_iter=10000),0.052,-0.036,-0.119,0.609,0.03300000000000003,0.821,0.09399999999999997,115,0.331,0:00:15.870091,0:00:00.527418
25,15,1,0.8,LogisticRegression(max_iter=10000),0.07,-0.017,-0.109,0.598,0.026000000000000023,0.806,0.08700000000000008,115,0.331,0:00:04.701173,0:00:00.527418
25,15,1,0.7,MultinomialNB(),-1.286,-1.2,-0.10299999999999998,1.003,0.028999999999999915,1.744,0.08200000000000007,75,0.216,0:00:00.004956,0:00:00.375990
25,15,1,0.7,LinearSVC(max_iter=10000),0.054,-0.011,-0.094,0.601,0.025000000000000022,0.801,0.07400000000000007,75,0.216,0:00:09.488050,0:00:00.375990
25,15,1,0.7,LogisticRegression(max_iter=10000),0.08,-0.005,-0.097,0.605,0.03300000000000003,0.797,0.07800000000000007,75,0.216,0:00:02.693035,0:00:00.375990
25,15,1,0.6,MultinomialNB(),-1.25,-1.365,-0.268,1.04,0.06600000000000006,1.874,0.2120000000000002,37,0.107,0:00:00.003896,0:00:00.347741
25,15,1,0.6,LinearSVC(max_iter=10000),0.01,-0.061,-0.14400000000000002,0.608,0.03200000000000003,0.841,0.11399999999999999,37,0.107,0:00:03.213872,0:00:00.347741
25,15,1,0.6,LogisticRegression(max_iter=10000),0.016,-0.018,-0.11,0.589,0.017000000000000015,0.807,0.08800000000000008,37,0.107,0:00:01.146631,0:00:00.347741
25,15,2,1,MultinomialNB(),-1.272,-1.169,0.0,1.003,0.0,1.719,0.0,295,1,0:00:00.013550,0:00:01.691303
25,15,2,1,LinearSVC(max_iter=10000),0.231,0.045,0.0,0.59,0.0,0.757,0.0,295,1,0:08:50.045805,0:00:01.691303
25,15,2,1,LogisticRegression(max_iter=10000),0.236,0.081,0.0,0.58,0.0,0.729,0.0,295,1,0:00:08.176768,0:00:01.691303
25,15,2,0.975,MultinomialNB(),-1.433,-1.231,-0.062000000000000055,1.019,0.016000000000000014,1.768,0.04899999999999993,243,0.824,0:00:00.011025,0:00:01.284912
25,15,2,0.975,LinearSVC(max_iter=10000),0.185,0.046,0.0010000000000000009,0.587,-0.0030000000000000027,0.756,-0.0010000000000000009,243,0.824,0:01:24.499606,0:00:01.284912
25,15,2,0.975,LogisticRegression(max_iter=10000),0.196,0.068,-0.012999999999999998,0.582,0.0020000000000000018,0.739,0.010000000000000009,243,0.824,0:00:06.349545,0:00:01.284912
25,15,2,0.95,MultinomialNB(),-1.582,-1.395,-0.22599999999999998,1.057,0.05400000000000005,1.898,0.17899999999999983,209,0.708,0:00:00.010061,0:00:01.057463
25,15,2,0.95,LinearSVC(max_iter=10000),0.17,0.061,0.016,0.577,-0.013000000000000012,0.744,-0.013000000000000012,209,0.708,0:00:57.000017,0:00:01.057463
25,15,2,0.95,LogisticRegression(max_iter=10000),0.177,0.072,-0.009000000000000008,0.579,-0.0010000000000000009,0.736,0.007000000000000006,209,0.708,0:00:05.565159,0:00:01.057463
25,15,2,0.925,MultinomialNB(),-1.689,-1.516,-0.347,1.08,0.07700000000000018,1.994,0.2749999999999999,189,0.641,0:00:00.008879,0:00:00.919675
25,15,2,0.925,LinearSVC(max_iter=10000),0.146,0.014,-0.031,0.586,-0.0040000000000000036,0.782,0.025000000000000022,189,0.641,0:00:41.451767,0:00:00.919675
25,15,2,0.925,LogisticRegression(max_iter=10000),0.149,0.047,-0.034,0.588,0.008000000000000007,0.755,0.026000000000000023,189,0.641,0:00:04.081428,0:00:00.919675
25,15,2,0.9,MultinomialNB(),-1.235,-1.074,0.09499999999999997,0.977,-0.025999999999999912,1.644,-0.07500000000000018,168,0.569,0:00:00.009531,0:00:00.857348
25,15,2,0.9,LinearSVC(max_iter=10000),0.11,0.019,-0.026,0.586,-0.0040000000000000036,0.778,0.02100000000000002,168,0.569,0:00:35.227479,0:00:00.857348
25,15,2,0.9,LogisticRegression(max_iter=10000),0.132,0.049,-0.032,0.581,0.0010000000000000009,0.754,0.025000000000000022,168,0.569,0:00:08.784179,0:00:00.857348
25,15,2,0.85,MultinomialNB(),-1.195,-1.055,0.1140000000000001,0.973,-0.029999999999999916,1.629,-0.09000000000000008,138,0.468,0:00:00.006815,0:00:00.569827
